id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJA8WHFEvC5JQRBD_o8YaGrwg,https://www.google.com/maps/place/?q=place_id:ChIJA8WHFEvC5JQRBD_o8YaGrwg,Mega Soluções Gráficas,Impressão digital,"Rua Artur Dambroso, 276 - Centro, Xanxerê - SC, 89820-000",(49) 3433-5511,+55 49 3433-5511,,,"-26.8730874,-52.4013293",4.7,8,Serigrafia e estamparia em Xanxere SC
ChIJU6V5zD3D5JQRO3kc5YNA4nk,https://www.google.com/maps/place/?q=place_id:ChIJU6V5zD3D5JQRO3kc5YNA4nk,GRÁFICA XANXERÊ,Gráfica,"R. da Consolação, 618 - Matinho, Xanxerê - SC, 89820-000",(49) 3431-0000,+55 49 3431-0000,,,"-26.883765699999998,-52.409664",4.9,3,Serigrafia e estamparia em Xanxere SC
ChIJ57OvGGLD5JQRuLXfMMvZ29k,https://www.google.com/maps/place/?q=place_id:ChIJ57OvGGLD5JQRuLXfMMvZ29k,LOOÏS Personalizados,Fornecedor de Brindes,"R. Maria do Nascimento, 298 - Veneza, Xanxerê - SC, 89820-000",(49) 99824-9731,+55 49 99824-9731,looispersonalizados.com.br,https://looispersonalizados.com.br/,"-26.876817,-52.4157406",4.9,44,Serigrafia e estamparia em Xanxere SC
